Baker,1,2,3,4,5,6,7,8,9,10,,season
Frances,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker got through to the next round,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker got through to the next round,Baker got through to the next round,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker was the Star Baker,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker was the series winner,,4
Kimberley,Baker got through to the next round,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker got through to the next round,Baker was the Star Baker,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round,Baker got through to the next round,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker was the Star Baker,Baker was the series runner-up,,4
Ruby,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker,"Baker was one of the judges' favourite bakers that week, but did not win star baker.","Baker was one of the judges' favourite bakers that week, but did not win star baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker,Baker got through to the next round,Baker was the Star Baker,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the series runner-up,,4
Beca,Baker got through to the next round,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round,Baker got through to the next round,Baker got through to the next round,Baker got through to the next round,"Baker was one of the judges' favourite bakers that week, but did not win star baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated,out,,4
Christine,Baker got through to the next round,Baker got through to the next round,Baker was the Star Baker,Baker got through to the next round,Baker was the Star Baker,Baker got through to the next round,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated,out,out,,4
Glenn,Baker got through to the next round,Baker got through to the next round,Baker got through to the next round,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but did not win star baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated,out,out,out,,4
Howard,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",Baker got through to the next round,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round,Baker got through to the next round,Baker was eliminated,out,out,out,out,,4
Robert,Baker was the Star Baker,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated,out,out,out,out,out,,4
Ali,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round,Baker got through to the next round,Baker was eliminated,out,out,out,out,out,out,,4
Deborah,Baker got through to the next round,Baker got through to the next round,Baker was eliminated,out,out,out,out,out,out,out,,4
Mark,Baker got through to the next round,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated,out,out,out,out,out,out,out,,4
Lucy,Baker got through to the next round,Baker was eliminated,out,out,out,out,out,out,out,out,,4
Toby,Baker was eliminated,out,out,out,out,out,out,out,out,out,,4
